scenario,profile,threads,run,run_id,evidence_dir,samples,successes,failures,error_rate_pct,throughput_req_s,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,redis_get_delta,redis_keyspace_hits_delta,redis_keyspace_misses_delta,redis_total_commands_delta,redis_get_per_request,http_429,http_5xx,docker_cpu_pct_avg,docker_mem_pct_avg,host_cpu_pct,host_mem_pct,seckill_voucher_id,initial_stock,accepted,final_redis_stock,mysql_orders,distinct_users,duplicate_orders,redis_ordered_users,stream_pending,stream_dlq,convergence_seconds,correctness_pass,client_limited,status,notes
blog-hot,,50,2,blog-hot-50-r2,blog-hot-50-r2,87692,87692,0,0.0,1463.411,29.676,28.0,47.0,59.0,164.0,0,128,0,331,0.0,0,0,258.37,8.28,97.8,87.5,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
blog-hot,,50,3,blog-hot-50-r3,blog-hot-50-r3,107730,107730,0,0.0,1797.147,25.082,23.0,49.0,75.0,1062.0,0,122,0,326,0.0,0,0,251.34,8.3,97.3,87.5,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
seckill,burst,100,1,seckill-100-r1,seckill-100-r1,100,100,0,0.0,60.096,58.49,22.0,204.0,204.0,204.0,300,2826,302,5300,,0,0,1.54,8.43,12.4,83.9,14,100,100,0,100,100,0,100,0,0,0.08,true,false,done,
seckill,burst,100,2,seckill-100-r2,seckill-100-r2,100,100,0,0.0,57.208,22.55,13.0,81.0,81.0,81.0,300,2828,302,5300,,0,0,0.47,8.41,6.0,83.4,15,100,100,0,100,100,0,100,0,0,0.06,true,false,done,
seckill,burst,100,3,seckill-100-r3,seckill-100-r3,100,100,0,0.0,57.937,22.7,13.0,83.0,83.0,84.0,300,2824,302,5226,,0,0,1.55,8.42,14.6,84.4,16,100,100,0,100,100,0,100,0,0,0.06,true,false,done,
seckill,burst,300,1,seckill-300-r1,seckill-300-r1,300,300,0,0.0,196.85,121.693,24.0,307.0,312.0,320.0,900,8422,902,15650,,0,0,10.9,8.42,11.1,85.9,17,300,300,0,300,300,0,300,0,0,0.05,true,false,done,
seckill,burst,300,2,seckill-300-r2,seckill-300-r2,300,300,0,0.0,205.479,101.393,17.0,252.0,268.0,286.0,900,8422,902,15700,,0,0,24.22,8.43,4.8,86.0,18,300,300,0,300,300,0,300,0,0,0.02,true,false,done,
seckill,burst,300,3,seckill-300-r3,seckill-300-r3,300,300,0,0.0,171.723,26.503,7.0,109.0,114.0,116.0,900,8424,902,15699,,0,0,0.75,8.43,11.9,86.1,19,300,300,0,300,300,0,300,0,0,0.05,true,false,done,
seckill,burst,500,1,seckill-500-r1,seckill-500-r1,500,432,68,13.6,380.228,776.102,792.0,1288.0,1298.0,1300.0,1296,12120,1298,22565,,0,0,13.27,8.43,14.9,82.8,20,500,432,68,432,432,0,432,0,0,0.01,true,true,done,client-side connect failures=68 (JMeter/Windows ephemeral port exhaustion; requests never reached gateway)
seckill,burst,500,2,seckill-500-r2,seckill-500-r2,500,493,7,1.4,371.747,434.322,457.0,824.0,828.0,829.0,1479,13826,1481,25734,,0,0,14.38,8.43,5.3,83.1,21,500,493,7,493,493,0,493,0,0,0.02,true,true,done,client-side connect failures=7 (JMeter/Windows ephemeral port exhaustion; requests never reached gateway)
seckill,burst,500,3,seckill-500-r3,seckill-500-r3,500,483,17,3.4,375.657,352.132,352.0,692.0,804.0,942.0,1449,13546,1451,25214,,0,0,15.17,8.45,5.9,85.1,22,500,483,17,483,483,0,483,0,0,0.03,true,true,done,client-side connect failures=17 (JMeter/Windows ephemeral port exhaustion; requests never reached gateway)
